icon,homepage,ID,comment_link,time,comment,like,reply
,https://www.youtube.com/@lebronbrady3567,@lebronbrady3567,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgyGZaqJoMc3Fxyt9yh4AaABAg,8天前,"Speed underestimated his popularity on the Chinese Internet, and also underestimated the openness and vitality of Chinese young men.The first day of live broadcast is so fucking interesting. Looking forward to tomorrow's live broadcast! I’m so fucking love it,bro.",99,
,https://www.youtube.com/@MichaelJohn06,@MichaelJohn06,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgwWt92ipkUypBvWvtp4AaABAg,9天前,W China 🇨🇳 from Indonesia 🇮🇩,1028,25 条回复
,https://www.youtube.com/@LaunaJoyner,@LaunaJoyner,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgzeNeGsd7tQTJjoUYV4AaABAg,5天前,"This translator with pink hair is extremely unqualified in terms of manners, and his reanslation is also inaccurate. Iseriously have doubts sbout him.",13,1 条回复
,https://www.youtube.com/@fanhuki6513,@fanhuki6513,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgyDWP9gbpurY3mQEFR4AaABAg,8天前,China people are really friendly nice to see.,151,
,https://www.youtube.com/@TengyiYeCalvoPro2,@TengyiYeCalvoPro2,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=Ugw-_Gg7svKfHArOeJJ4AaABAg,8天前,Pink haired translator was doing nothing the whole time,573,12 条回复
,https://www.youtube.com/@kellyzhan8058,@kellyzhan8058,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgwJr3zhnKu8wH3PIZx4AaABAg,9天前,"Fire that pink translator guy , he has made tons of mistakes and he seems not know Chinese very well.",1057,15 条回复
,https://www.youtube.com/@pandamant666,@pandamant666,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=Ugxq6eo3Z_lbPwrvL454AaABAg,2天前,He’s like a boy from small village stepping into a big city the very first time,12,
,https://www.youtube.com/@keongfong-yg5tt,@keongfong-yg5tt,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgzmL0gQ4CiTVnej1lF4AaABAg,8天前,speed遇到穿汉服的人问他们在哪买的他也想要一件，这翻译直接说“送给他一件”,190,18 条回复
,https://www.youtube.com/@Carlxz.,@Carlxz.,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=Ugw9NgQ6R62a-kfl2ht4AaABAg,7天前,"this proves that china is ahead of everyone, the stream didnt even lag the internet is faaastt",373,30 条回复
,https://www.youtube.com/@Naman7.7,@Naman7.7,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgzIpczQEP198Lq5qW94AaABAg,9天前,"after that korea stream, this is the best irl stream...and china is so lit",295,11 条回复
